doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_nevada_las-vegas_main_street_station_hotel_casino,main street station hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91885-r50012906-Main_Street_Station_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89101,-1,-1,136,4.3924050633,4.1139240506,4.1139240506,3.7974683544,4.5063291139,0,4.1848101266
usa_nevada_las-vegas_hilton_grand_vacations_club_at_the_flamingo_las_vegas,hilton grand vacations club at the flamingo las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d217597-r49776428-Hilton_Grand_Vacations_Club_at_the_Flamingo_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,113,4.265625,4.21875,4.140625,4.703125,4.328125,0,4.33125
usa_nevada_las-vegas_wyndham_grand_desert,wyndham grand desert,http://www.tripadvisor.com/ShowUserReviews-g45963-d252869-r49367219-Wyndham_Grand_Desert-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,281,4.4580645161,4.2967741935,4.1032258065,3.7870967742,4.2387096774,0,4.1767741935
usa_nevada_las-vegas_embassy_suites_hotel_convention_center_paradise_road_las_vegas,embassy suites hotel convention center paradise road las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d121330-r50502840-Embassy_Suites_Hotel_Convention_Center_Paradise_Road_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,127,4.2941176471,4.0735294118,4.1029411765,3.7058823529,4.1323529412,0,4.0617647059
usa_nevada_las-vegas_suncoast_hotel_and_casino,suncoast hotel and casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d121307-r50495505-Suncoast_Hotel_and_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89145,-1,-1,161,4.4743589744,4.3333333333,4.0384615385,3.7435897436,4.3205128205,0,4.1820512821
usa_nevada_las-vegas_the_mansion_at_mgm_grand,the mansion at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d585748-r47271423-The_Mansion_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,10,5,5,5,5,5,0,5
usa_nevada_las-vegas_treasure_island_ti_hotel_casino,treasure island ti hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91967-r50524557-Treasure_Island_TI_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,330,4.3953488372,4.1727574751,3.8471760797,4.5581395349,4.1727574751,0,4.2292358804
usa_nevada_las-vegas_golden_nugget,golden nugget,http://www.tripadvisor.com/ShowUserReviews-g45963-d91828-r50385129-Golden_Nugget-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89101,-1,-1,332,4.2724252492,4.0564784053,3.9833887043,4.0465116279,4.1395348837,0,4.0996677741
usa_nevada_las-vegas_hampton_inn_suites_las_vegas_west_summerlin,hampton inn suites las vegas west summerlin,http://www.tripadvisor.com/ShowUserReviews-g45963-d653214-r45323852-Hampton_Inn_Suites_Las_Vegas_West_Summerlin-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89147,-1,-1,14,4.7692307692,4.6923076923,4.6153846154,3.8461538462,4.4615384615,0,4.4769230769
usa_nevada_las-vegas_red_rock_casino_resort_spa,red rock casino resort spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d596543-r50430516-Red_Rock_Casino_Resort_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89135,-1,-1,378,4.5663082437,4.6093189964,4.0716845878,3.6200716846,3.9713261649,0,4.1677419355
usa_nevada_las-vegas_embassy_suites_las_vegas_airport,embassy suites las vegas airport,http://www.tripadvisor.com/ShowUserReviews-g45963-d97971-r43453654-Embassy_Suites_Las_Vegas_Airport-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,91,4.3125,4.265625,4.3125,3.75,4.203125,0,4.16875
usa_nevada_las-vegas_hilton_garden_inn_las_vegas_strip_south,hilton garden inn las vegas strip south,http://www.tripadvisor.com/ShowUserReviews-g45963-d503601-r48071091-Hilton_Garden_Inn_Las_Vegas_Strip_South-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89123,-1,-1,34,4.7826086957,4.5217391304,4.347826087,3.6956521739,4.0434782609,0,4.2782608696
usa_nevada_las-vegas_sam_s_town_hotel_and_gambling_hall,sam s town hotel and gambling hall,http://www.tripadvisor.com/ShowUserReviews-g45963-d91675-r50525207-Sam_s_Town_Hotel_and_Gambling_Hall-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89122,-1,-1,192,4.2121212121,3.9797979798,4.1414141414,3.3232323232,4.3939393939,0,4.0101010101
usa_nevada_las-vegas_springhill_suites_las_vegas_convention_center,springhill suites las vegas convention center,http://www.tripadvisor.com/ShowUserReviews-g45963-d1200920-r50448588-SpringHill_Suites_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,5,4.75,4.75,4.75,4,4.5,0,4.55
usa_nevada_las-vegas_marriott_suites_las_vegas,marriott suites las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d111712-r49191566-Marriott_Suites_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,55,4.625,4.475,4.3,3.525,4.25,0,4.235
usa_nevada_las-vegas_mgm_grand_hotel_and_casino,mgm grand hotel and casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91891-r50388077-MGM_Grand_Hotel_and_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,339,4.3222591362,3.8372093023,3.8106312292,4.0664451827,3.9568106312,0,3.9986710963
usa_nevada_las-vegas_caesars_palace_classic_hotel,caesars palace classic hotel,http://www.tripadvisor.com/ShowUserReviews-g45963-d91762-r50526924-Caesars_Palace_Classic_Hotel-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,330,4.1794019934,4.0431893688,3.7009966777,4.6644518272,3.5714285714,0,4.0318936877
usa_nevada_las-vegas_holiday_inn_express_las_vegas_south,holiday inn express las vegas south,http://www.tripadvisor.com/ShowUserReviews-g45963-d295317-r50366502-Holiday_Inn_Express_Las_Vegas_South-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,110,4.5394736842,4.3552631579,4.4210526316,3.8421052632,4.3815789474,0,4.3078947368
usa_nevada_las-vegas_paris_las_vegas_hotel,paris las vegas hotel,http://www.tripadvisor.com/ShowUserReviews-g45963-d143336-r50340251-Paris_Las_Vegas_Hotel-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,333,4.1926910299,3.8006644518,3.6943521595,4.7508305648,3.8205980066,0,4.0518272425
usa_nevada_las-vegas_tuscany_suites_casino,tuscany suites casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d224853-r50510814-Tuscany_Suites_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89107,-1,-1,450,3.9917355372,3.8016528926,3.5537190083,3.7024793388,3.9380165289,0,3.7975206612
usa_nevada_las-vegas_trump_international_hotel_tower_las_vegas,trump international hotel tower las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d1022061-r50422033-Trump_International_Hotel_Tower_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,315,4.3488372093,4.365448505,3.7641196013,3.219269103,3.8803986711,0,3.9156146179
usa_nevada_las-vegas_microtel_inn_suites_las_vegas,microtel inn suites las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d650783-r48702875-Microtel_Inn_Suites_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89123,-1,-1,19,4.6315789474,4.2105263158,4.1578947368,3.6315789474,4.3684210526,0,4.2
usa_nevada_las-vegas_la_quinta_summerlin_tech,la quinta summerlin tech,http://www.tripadvisor.com/ShowUserReviews-g45963-d91871-r47123656-La_Quinta_Summerlin_Tech-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89128-0455,-1,-1,17,4,4.3333333333,4.1666666667,3.6666666667,4.5,0,4.1333333333
usa_nevada_las-vegas_four_queens_hotel_and_casino,four queens hotel and casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91816-r50361737-Four_Queens_Hotel_and_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89101,-1,-1,437,4.1180555556,3.8229166667,4.0069444444,4.2986111111,4.2430555556,0,4.0979166667
usa_nevada_las-vegas_cancun_resort,cancun resort,http://www.tripadvisor.com/ShowUserReviews-g45963-d277719-r49556848-Cancun_Resort-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89123,-1,-1,164,4.1875,3.9166666667,3.7916666667,3.4791666667,3.90625,0,3.85625
usa_nevada_las-vegas_mandalay_bay_resort_casino,mandalay bay resort casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91886-r50501099-Mandalay_Bay_Resort_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,332,4.2491694352,4.1162790698,3.8139534884,3.3289036545,3.561461794,0,3.8139534884
usa_nevada_las-vegas_new_york_new_york_hotel_and_casino,new york new york hotel and casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91904-r50436706-New_York_New_York_Hotel_and_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,334,4.1029900332,3.6677740864,3.6511627907,4.0166112957,3.7607973422,0,3.8398671096
usa_nevada_las-vegas_homewood_suites_las_vegas_airport,homewood suites las vegas airport,http://www.tripadvisor.com/ShowUserReviews-g45963-d679044-r50234092-Homewood_Suites_Las_Vegas_Airport-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,23,4.5238095238,4.4761904762,4.1428571429,3.7142857143,4.3333333333,0,4.2380952381
usa_nevada_las-vegas_planet_hollywood_resort_casino,planet hollywood resort casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91687-r50464081-Planet_Hollywood_Resort_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,337,4.0598006645,3.8438538206,3.6843853821,4.7043189369,3.950166113,0,4.0485049834
usa_nevada_las-vegas_grandview_at_las_vegas,grandview at las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d460081-r50381049-Grandview_at_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89123,-1,-1,323,4.3130434783,4.2130434783,3.7043478261,3.3565217391,4.0869565217,0,3.9347826087
usa_nevada_las-vegas_terrible_s_hotel_casino,terrible s hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d224849-r50145281-Terrible_s_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,237,3.7766990291,3.7184466019,3.6796116505,3.4854368932,4.1747572816,0,3.7669902913
usa_nevada_las-vegas_hilton_grand_vacation_suites_las_vegas_convention_center,hilton grand vacation suites las vegas convention center,http://www.tripadvisor.com/ShowUserReviews-g45963-d234836-r49516835-Hilton_Grand_Vacation_Suites_Las_Vegas_Convention_Center-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,124,4.3382352941,4.0588235294,4.2058823529,3.4852941176,4.1029411765,0,4.0382352941
usa_nevada_las-vegas_desert_paradise_resort,desert paradise resort,http://www.tripadvisor.com/ShowUserReviews-g45963-d286472-r48148311-Desert_Paradise_Resort-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,61,4.3666666667,4.1666666667,4,3.8,4.2333333333,0,4.1133333333
usa_nevada_las-vegas_tahiti_village,tahiti village,http://www.tripadvisor.com/ShowUserReviews-g45963-d628433-r49994058-Tahiti_Village-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,214,4.406779661,4.2824858757,3.581920904,3.6553672316,4.0282485876,0,3.990960452
usa_nevada_las-vegas_hampton_inn_tropicana,hampton inn tropicana,http://www.tripadvisor.com/ShowUserReviews-g45963-d121328-r49370260-Hampton_Inn_Tropicana-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118-1655,-1,-1,64,4.4,4.2,4.0571428571,3.6857142857,4.0571428571,0,4.08
usa_nevada_las-vegas_tahiti_vacation_club,tahiti vacation club,http://www.tripadvisor.com/ShowUserReviews-g45963-d523862-r50236723-Tahiti_Vacation_Club-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89103,-1,-1,45,4.1785714286,4.0357142857,3.6071428571,3.7857142857,4.1785714286,0,3.9571428571
usa_nevada_las-vegas_residence_inn_las_vegas_south,residence inn las vegas south,http://www.tripadvisor.com/ShowUserReviews-g45963-d287616-r47968343-Residence_Inn_Las_Vegas_South-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,47,4.46875,4.3125,4.34375,3.96875,4.125,0,4.24375
usa_nevada_las-vegas_gold_coast_hotel_and_casino,gold coast hotel and casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91823-r50116245-Gold_Coast_Hotel_and_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89103,-1,-1,382,3.9891304348,3.7010869565,3.777173913,3.5489130435,4.2119565217,0,3.8456521739
usa_nevada_las-vegas_hotel32_at_monte_carlo,hotel32 at monte carlo,http://www.tripadvisor.com/ShowUserReviews-g45963-d1526513-r48784858-Hotel32_at_Monte_Carlo-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,-1,-1,-1,5,4.75,3.75,4.5,4.75,3.5,0,4.25
usa_nevada_las-vegas_cliffs_at_peace_canyon,cliffs at peace canyon,http://www.tripadvisor.com/ShowUserReviews-g45963-d530410-r47450119-Cliffs_at_Peace_Canyon-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89147,-1,-1,94,4.3559322034,4.2372881356,3.9830508475,4.1186440678,4.3050847458,0,4.2
usa_nevada_las-vegas_doubletree_club_hotel_las_vegas_airport,doubletree club hotel las vegas airport,http://www.tripadvisor.com/ShowUserReviews-g45963-d91773-r46866418-Doubletree_Club_Hotel_Las_Vegas_Airport-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,68,4.125,4.075,4.1,3.925,4.125,0,4.07
usa_nevada_las-vegas_bally_s_las_vegas_hotel_casino,bally s las vegas hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d121312-r50539569-Bally_s_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,324,3.7940199336,3.5913621262,3.5946843854,4.6245847176,3.9933554817,0,3.9196013289
usa_nevada_las-vegas_stratosphere_hotel_casino_and_tower,stratosphere hotel casino and tower,http://www.tripadvisor.com/ShowUserReviews-g45963-d114898-r50467273-Stratosphere_Hotel_Casino_and_Tower-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89104,-1,-1,338,3.9235880399,3.6079734219,3.4916943522,2.8006644518,4.0099667774,0,3.5667774086
usa_nevada_las-vegas_polo_towers,polo towers,http://www.tripadvisor.com/ShowUserReviews-g45963-d91916-r49086983-Polo_Towers-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,171,4.0609756098,3.8780487805,3.756097561,4.3048780488,3.8536585366,0,3.9707317073
usa_nevada_las-vegas_fairfield_inn_las_vegas_airport,fairfield inn las vegas airport,http://www.tripadvisor.com/ShowUserReviews-g45963-d91814-r46217468-Fairfield_Inn_Las_Vegas_Airport-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,30,4.6111111111,3.9444444444,4.1666666667,3.4444444444,3.8888888889,0,4.0111111111
usa_nevada_las-vegas_jockey_club,jockey club,http://www.tripadvisor.com/ShowUserReviews-g45963-d91866-r49918025-Jockey_Club-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,194,4,3.8404255319,3.7659574468,4.329787234,3.829787234,0,3.9531914894
usa_nevada_las-vegas_el_cortez_hotel_casino,el cortez hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d111692-r50501810-El_Cortez_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89101,-1,-1,236,4.0731707317,3.8861788618,3.8130081301,3.5365853659,4.2520325203,0,3.912195122
usa_nevada_las-vegas_crestwood_suites_las_vegas_boulevard,crestwood suites las vegas boulevard,http://www.tripadvisor.com/ShowUserReviews-g45963-d224836-r49986662-Crestwood_Suites_Las_Vegas_Boulevard-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,33,3.5185185185,3.5925925926,3.6666666667,3.8518518519,3.8148148148,0,3.6888888889
usa_nevada_las-vegas_golden_gate_hotel_casino,golden gate hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91826-r50297653-Golden_Gate_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89101,-1,-1,107,3.7878787879,3.1818181818,3.7272727273,4.196969697,4.2424242424,0,3.8272727273
usa_nevada_las-vegas_la_quinta_inn_and_suites_las_vegas_west,la quinta inn and suites las vegas west,http://www.tripadvisor.com/ShowUserReviews-g45963-d224834-r49242159-La_Quinta_Inn_and_Suites_Las_Vegas_West-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89117,-1,-1,18,4.1428571429,3.8571428571,4.0714285714,3.5,4.0714285714,0,3.9285714286
usa_nevada_las-vegas_emerald_suites,emerald suites,http://www.tripadvisor.com/ShowUserReviews-g45963-d257173-r50511905-Emerald_Suites-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89123,-1,-1,90,4.0147058824,3.7205882353,3.8382352941,3.8088235294,4.0294117647,0,3.8823529412
usa_nevada_las-vegas_emerald_suites_cameron,emerald suites cameron,http://www.tripadvisor.com/ShowUserReviews-g45963-d526105-r49651140-Emerald_Suites_Cameron-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89103,-1,-1,42,3.9,3.7,3.6666666667,3.8666666667,4.0333333333,0,3.8333333333
usa_nevada_las-vegas_hyatt_place_las_vegas,hyatt place las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d91693-r47111687-Hyatt_Place_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,33,4.1290322581,4.0322580645,4,3.3548387097,3.9677419355,0,3.8967741935
